date,run_id,portfolio,cash,market_value,equity,daily_pnl,daily_return,cumulative_return,holdings_json,signals_json,notes
2025-11-06,19152417586,portfolio_max_autotrader,2920.65,16192.67,19113.32,0.0,0.0,0.0,"{""AAPL"":{""qty"":0.3706,""avg_cost"":270.11985,""mark"":269.85},""AMD"":{""qty"":3.0,""avg_cost"":0.0,""mark"":237.61},""AMZN"":{""qty"":0.1013,""avg_cost"":0.0,""mark"":242.96},""ARCC"":{""qty"":24.36,""avg_cost"":0.0,""mark"":19.98},""ASTS"":{""qty"":8.49,""avg_cost"":0.0,""mark"":65.275},""CRWD"":{""qty"":0.5558,""avg_cost"":0.0,""mark"":532.83},""CTM"":{""qty"":33.0,""avg_cost"":1.3,""mark"":0.0},""FSLR"":{""qty"":3.0,""avg_cost"":269.0,""mark"":272.11},""HOOD"":{""qty"":3.0,""avg_cost"":0.0,""mark"":127.06},""MSFT"":{""qty"":1.5,""avg_cost"":0.0,""mark"":497.315},""NVDA"":{""qty"":3.5,""avg_cost"":0.0,""mark"":188.14},""QBTS"":{""qty"":172.08,""avg_cost"":0.0,""mark"":28.39},""QUBT"":{""qty"":57.39,""avg_cost"":0.0,""mark"":13.14},""RGTI"":{""qty"":9.17,""avg_cost"":0.0,""mark"":34.345},""RKLB"":{""qty"":6.27,""avg_cost"":0.0,""mark"":49.605},""SNOW"":{""qty"":1.5,""avg_cost"":0.0,""mark"":264.755},""TTWO"":{""qty"":1.8,""avg_cost"":0.0,""mark"":252.56},""VOO"":{""qty"":1.24,""avg_cost"":0.0,""mark"":615.935},""VTI"":{""qty"":9.48,""avg_cost"":0.0,""mark"":329.34},""ZS"":{""qty"":1.3,""avg_cost"":0.0,""mark"":317.8}}","{""AAPL"":{""TS"":0.578813,""NS"":0.355607,""CDS"":0.48953,""wT"":0.6,""wN"":0.4},""AMD"":{""TS"":-0.478099,""NS"":0.241223,""CDS"":-0.19037,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.513501,""NS"":0.278764,""CDS"":0.419607,""wT"":0.6,""wN"":0.4},""ARCC"":{""TS"":0.306242,""NS"":0.349972,""CDS"":0.323734,""wT"":0.6,""wN"":0.4},""ASTS"":{""TS"":-0.57545,""NS"":0.067254,""CDS"":-0.318368,""wT"":0.6,""wN"":0.4},""CRWD"":{""TS"":-0.327037,""NS"":0.343043,""CDS"":-0.059005,""wT"":0.6,""wN"":0.4},""CTM"":{},""FSLR"":{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4},""HOOD"":{""TS"":-0.536778,""NS"":0.123036,""CDS"":-0.272852,""wT"":0.6,""wN"":0.4},""MSFT"":{""TS"":-0.643294,""NS"":0.266504,""CDS"":-0.279375,""wT"":0.6,""wN"":0.4},""NVDA"":{""TS"":-0.505645,""NS"":0.150973,""CDS"":-0.242997,""wT"":0.6,""wN"":0.4},""QBTS"":{""TS"":-0.528902,""NS"":0.119144,""CDS"":-0.269684,""wT"":0.6,""wN"":0.4},""QUBT"":{""TS"":-0.592264,""NS"":0.065984,""CDS"":-0.328965,""wT"":0.6,""wN"":0.4},""RGTI"":{""TS"":-0.527454,""NS"":0.120896,""CDS"":-0.268114,""wT"":0.6,""wN"":0.4},""RKLB"":{""TS"":-0.648029,""NS"":0.109201,""CDS"":-0.345137,""wT"":0.6,""wN"":0.4},""SNOW"":{""TS"":-0.317127,""NS"":0.303195,""CDS"":-0.068998,""wT"":0.6,""wN"":0.4},""TTWO"":{""TS"":-0.489842,""NS"":0.044086,""CDS"":-0.276271,""wT"":0.6,""wN"":0.4},""VOO"":{""TS"":-0.516058,""NS"":0.086338,""CDS"":-0.275099,""wT"":0.6,""wN"":0.4},""VTI"":{""TS"":-0.520567,""NS"":-0.043423,""CDS"":-0.329709,""wT"":0.6,""wN"":0.4},""ZS"":{""TS"":-0.400203,""NS"":0.144232,""CDS"":-0.182429,""wT"":0.6,""wN"":0.4}}",
2025-11-07,19183518898,portfolio_max_autotrader,488.58,18779.97,19268.55,681.73,0.036678,0.008122,"{""AMD"":{""qty"":3.0,""avg_cost"":0.0,""mark"":233.56},""AMZN"":{""qty"":0.10134,""avg_cost"":0.0,""mark"":244.42},""ARCC"":{""qty"":24.36,""avg_cost"":0.0,""mark"":20.195},""ASTS"":{""qty"":6.49,""avg_cost"":0.0,""mark"":69.21},""CRWD"":{""qty"":0.555751,""avg_cost"":0.0,""mark"":539.81},""CTM"":{""qty"":33.0,""avg_cost"":0.0,""mark"":0.0},""DOCN"":{""qty"":9.0,""avg_cost"":0.0,""mark"":49.495},""FSLR"":{""qty"":3.0,""avg_cost"":0.0,""mark"":267.63},""HOOD"":{""qty"":4.0,""avg_cost"":0.0,""mark"":130.36},""JPM"":{""qty"":1.5,""avg_cost"":0.0,""mark"":314.265},""MSFT"":{""qty"":1.5,""avg_cost"":0.0,""mark"":496.81},""NVDA"":{""qty"":3.5,""avg_cost"":0.0,""mark"":188.205},""QBTS"":{""qty"":230.08,""avg_cost"":0.0,""mark"":29.53},""QUBT"":{""qty"":57.39,""avg_cost"":0.0,""mark"":12.86},""RGTI"":{""qty"":8.17,""avg_cost"":0.0,""mark"":33.765},""RKLB"":{""qty"":5.27,""avg_cost"":0.0,""mark"":51.635},""SNOW"":{""qty"":1.5,""avg_cost"":0.0,""mark"":262.98},""TTWO"":{""qty"":1.8,""avg_cost"":0.0,""mark"":0.0},""TWLO"":{""qty"":3.0,""avg_cost"":0.0,""mark"":127.68},""VOO"":{""qty"":1.24,""avg_cost"":0.0,""mark"":616.91},""VTI"":{""qty"":9.48,""avg_cost"":0.0,""mark"":330.125},""ZS"":{""qty"":1.3,""avg_cost"":0.0,""mark"":319.96}}","{""AMD"":{""TS"":-0.504416,""NS"":-0.035556,""CDS"":-0.316872,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.525823,""NS"":0.351533,""CDS"":0.456107,""wT"":0.6,""wN"":0.4},""ARCC"":{""TS"":0.430811,""NS"":0.149335,""CDS"":0.31822,""wT"":0.6,""wN"":0.4},""ASTS"":{""TS"":-0.497663,""NS"":0.090178,""CDS"":-0.262526,""wT"":0.6,""wN"":0.4},""CRWD"":{""TS"":-0.279494,""NS"":0.301607,""CDS"":-0.047054,""wT"":0.6,""wN"":0.4},""CTM"":{},""DOCN"":{""TS"":0.65177,""NS"":0.212549,""CDS"":0.476082,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.54728,""NS"":0.39543,""CDS"":0.48654,""wT"":0.6,""wN"":0.4},""HOOD"":{""TS"":-0.501386,""NS"":0.214019,""CDS"":-0.215224,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.605219,""NS"":0.335114,""CDS"":0.497177,""wT"":0.6,""wN"":0.4},""MSFT"":{""TS"":-0.646379,""NS"":0.16172,""CDS"":-0.32314,""wT"":0.6,""wN"":0.4},""NVDA"":{""TS"":-0.505485,""NS"":-0.050533,""CDS"":-0.323504,""wT"":0.6,""wN"":0.4},""QBTS"":{""TS"":-0.498298,""NS"":0.208057,""CDS"":-0.215756,""wT"":0.6,""wN"":0.4},""QUBT"":{""TS"":-0.603998,""NS"":-0.105808,""CDS"":-0.404722,""wT"":0.6,""wN"":0.4},""RGTI"":{""TS"":-0.53846,""NS"":0.031849,""CDS"":-0.310336,""wT"":0.6,""wN"":0.4},""RKLB"":{""TS"":-0.590189,""NS"":0.044213,""CDS"":-0.336428,""wT"":0.6,""wN"":0.4},""SNOW"":{""TS"":-0.347821,""NS"":0.31142,""CDS"":-0.084125,""wT"":0.6,""wN"":0.4},""TTWO"":{},""TWLO"":{""TS"":0.537641,""NS"":0.352921,""CDS"":0.463753,""wT"":0.6,""wN"":0.4},""VOO"":{""TS"":-0.498706,""NS"":0.002251,""CDS"":-0.298323,""wT"":0.6,""wN"":0.4},""VTI"":{""TS"":-0.494979,""NS"":0.128479,""CDS"":-0.245596,""wT"":0.6,""wN"":0.4},""ZS"":{""TS"":-0.375933,""NS"":0.016478,""CDS"":-0.218969,""wT"":0.6,""wN"":0.4}}",
2025-11-10,19245507436,portfolio_max_autotrader,3469.07,16454.13,19923.2,0.0,0.0,0.042373,"{""AMD"":{""qty"":3.0,""avg_cost"":0.0,""mark"":244.52},""AMZN"":{""qty"":0.10134,""avg_cost"":0.0,""mark"":248.78},""ARCC"":{""qty"":24.36,""avg_cost"":0.0,""mark"":20.235},""ASTS"":{""qty"":3.650625,""avg_cost"":0.0,""mark"":69.03},""BE"":{""qty"":3.679611,""avg_cost"":139.424285,""mark"":140.92},""CRWD"":{""qty"":0.555751,""avg_cost"":0.0,""mark"":557.895},""CTM"":{""qty"":33.0,""avg_cost"":0.0,""mark"":1.205},""DDOG"":{""qty"":14.54461,""avg_cost"":200.536875,""mark"":200.07},""DOCN"":{""qty"":9.000075,""avg_cost"":0.000433,""mark"":51.89},""FSLR"":{""qty"":3.0,""avg_cost"":0.0,""mark"":272.22},""GOOGL"":{""qty"":0.741626,""avg_cost"":288.57829,""mark"":290.205},""HOOD"":{""qty"":3.472037,""avg_cost"":0.0,""mark"":136.9},""JPM"":{""qty"":1.5,""avg_cost"":0.0,""mark"":317.32},""MDB"":{""qty"":1.369537,""avg_cost"":374.60423,""mark"":377.16},""MSFT"":{""qty"":1.5,""avg_cost"":0.0,""mark"":505.805},""NVDA"":{""qty"":3.5,""avg_cost"":0.0,""mark"":199.535},""QBTS"":{""qty"":48.341795,""avg_cost"":0.0,""mark"":29.41},""QUBT"":{""qty"":4.197617,""avg_cost"":0.0,""mark"":12.755},""RGTI"":{""qty"":1.305985,""avg_cost"":0.0,""mark"":33.3},""RKLB"":{""qty"":2.964375,""avg_cost"":0.0,""mark"":51.82},""SEDG"":{""qty"":7.5e-05,""avg_cost"":48.00796,""mark"":46.35},""SNOW"":{""qty"":1.5,""avg_cost"":0.0,""mark"":269.935},""TTWO"":{""qty"":0.481989,""avg_cost"":0.0,""mark"":234.93},""TWLO"":{""qty"":3.0,""avg_cost"":0.0,""mark"":130.96},""VOO"":{""qty"":0.887075,""avg_cost"":0.0,""mark"":626.89},""VTI"":{""qty"":9.48,""avg_cost"":0.0,""mark"":335.285},""ZS"":{""qty"":1.3,""avg_cost"":0.0,""mark"":331.03}}","{""AMD"":{""TS"":-0.416228,""NS"":0.389296,""CDS"":-0.094018,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.562021,""NS"":0.50259,""CDS"":0.538249,""wT"":0.6,""wN"":0.4},""ARCC"":{""TS"":0.442456,""NS"":0.107359,""CDS"":0.308417,""wT"":0.6,""wN"":0.4},""ASTS"":{""TS"":-0.501177,""NS"":0.164824,""CDS"":-0.234776,""wT"":0.6,""wN"":0.4},""BE"":{""TS"":0.575029,""NS"":0.595923,""CDS"":0.583387,""wT"":0.6,""wN"":0.4},""CRWD"":{""TS"":0.6098,""NS"":0.310069,""CDS"":0.489907,""wT"":0.6,""wN"":0.4},""CTM"":{""TS"":0.508016,""NS"":-0.104731,""CDS"":0.262917,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.725991,""NS"":0.408072,""CDS"":0.598824,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.683127,""NS"":0.174899,""CDS"":0.479836,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.572253,""NS"":0.315899,""CDS"":0.469711,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.614844,""NS"":0.462459,""CDS"":0.55389,""wT"":0.6,""wN"":0.4},""HOOD"":{""TS"":-0.434878,""NS"":0.360914,""CDS"":-0.116561,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.646745,""NS"":0.333221,""CDS"":0.521335,""wT"":0.6,""wN"":0.4},""MDB"":{""TS"":0.641818,""NS"":0.481067,""CDS"":0.577518,""wT"":0.6,""wN"":0.4},""MSFT"":{""TS"":-0.513768,""NS"":0.505428,""CDS"":-0.10609,""wT"":0.6,""wN"":0.4},""NVDA"":{""TS"":-0.29986,""NS"":0.392402,""CDS"":-0.022955,""wT"":0.6,""wN"":0.4},""QBTS"":{""TS"":-0.502257,""NS"":0.114706,""CDS"":-0.255472,""wT"":0.6,""wN"":0.4},""QUBT"":{""TS"":-0.609321,""NS"":-0.1131,""CDS"":-0.410833,""wT"":0.6,""wN"":0.4},""RGTI"":{""TS"":-0.548107,""NS"":0.132374,""CDS"":-0.275915,""wT"":0.6,""wN"":0.4},""RKLB"":{""TS"":-0.586173,""NS"":0.263405,""CDS"":-0.246342,""wT"":0.6,""wN"":0.4},""SEDG"":{""TS"":0.606346,""NS"":0.192315,""CDS"":0.440734,""wT"":0.6,""wN"":0.4},""SNOW"":{""TS"":-0.257942,""NS"":0.470803,""CDS"":0.033556,""wT"":0.6,""wN"":0.4},""TTWO"":{""TS"":-0.635769,""NS"":0.069045,""CDS"":-0.353844,""wT"":0.6,""wN"":0.4},""TWLO"":{""TS"":0.576227,""NS"":0.330668,""CDS"":0.478003,""wT"":0.6,""wN"":0.4},""VOO"":{""TS"":-0.298329,""NS"":0.102429,""CDS"":-0.138025,""wT"":0.6,""wN"":0.4},""VTI"":{""TS"":-0.302307,""NS"":0.414497,""CDS"":-0.015585,""wT"":0.6,""wN"":0.4},""ZS"":{""TS"":-0.272568,""NS"":0.300025,""CDS"":-0.043531,""wT"":0.6,""wN"":0.4}}",
2025-11-11,19276625885,portfolio_max_autotrader,2807.52,22688.69,25496.21,0.0,0.0,0.33395,"{""AMD"":{""qty"":3.0,""avg_cost"":0.0,""mark"":239.74},""AMZN"":{""qty"":0.10134,""avg_cost"":0.0,""mark"":249.395},""ARCC"":{""qty"":24.36,""avg_cost"":0.0,""mark"":20.395},""ASST"":{""qty"":10.0,""avg_cost"":0.0,""mark"":0.0},""ASTS"":{""qty"":4.6175,""avg_cost"":0.0,""mark"":68.46},""CRWD"":{""qty"":0.555751,""avg_cost"":0.0,""mark"":555.52},""CTM"":{""qty"":33.0,""avg_cost"":0.0,""mark"":1.18},""DOCN"":{""qty"":9.0,""avg_cost"":0.0,""mark"":50.32},""FSLR"":{""qty"":3.0,""avg_cost"":0.0,""mark"":264.16},""HOOD"":{""qty"":4.0,""avg_cost"":0.0,""mark"":131.7},""JPM"":{""qty"":1.5,""avg_cost"":0.0,""mark"":316.77},""MDB"":{""qty"":1.0,""avg_cost"":0.0,""mark"":372.94},""MSFT"":{""qty"":1.125,""avg_cost"":0.0,""mark"":509.08},""MU"":{""qty"":4.0,""avg_cost"":0.0,""mark"":242.19},""NVDA"":{""qty"":28.5,""avg_cost"":0.0,""mark"":193.77},""PLTR"":{""qty"":0.01,""avg_cost"":0.0,""mark"":190.58},""QBTS"":{""qty"":192.610457,""avg_cost"":0.0,""mark"":29.29},""RGTI"":{""qty"":3.6275,""avg_cost"":0.0,""mark"":31.6},""RKLB"":{""qty"":3.7025,""avg_cost"":0.0,""mark"":52.26},""SNOW"":{""qty"":1.5,""avg_cost"":0.0,""mark"":272.32},""TWLO"":{""qty"":3.0,""avg_cost"":0.0,""mark"":131.47},""VOO"":{""qty"":0.93,""avg_cost"":0.0,""mark"":628.02},""VTI"":{""qty"":7.11,""avg_cost"":0.0,""mark"":335.85},""XOP"":{""qty"":7.0,""avg_cost"":0.0,""mark"":134.46},""ZS"":{""qty"":1.3,""avg_cost"":0.0,""mark"":332.13}}","{""AMD"":{""TS"":-0.45155,""NS"":0.365697,""CDS"":-0.124651,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.567695,""NS"":0.404393,""CDS"":0.502374,""wT"":0.6,""wN"":0.4},""ARCC"":{""TS"":0.487064,""NS"":0.438843,""CDS"":0.467775,""wT"":0.6,""wN"":0.4},""ASST"":{},""ASTS"":{""TS"":-0.510344,""NS"":-0.024784,""CDS"":-0.31612,""wT"":0.6,""wN"":0.4},""CRWD"":{""TS"":0.588036,""NS"":0.240563,""CDS"":0.449047,""wT"":0.6,""wN"":0.4},""CTM"":{""TS"":0.471673,""NS"":0.297903,""CDS"":0.402165,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.62277,""NS"":0.260772,""CDS"":0.477971,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.493485,""NS"":0.030988,""CDS"":0.308486,""wT"":0.6,""wN"":0.4},""HOOD"":{""TS"":-0.48186,""NS"":0.365415,""CDS"":-0.14295,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.636037,""NS"":0.110322,""CDS"":0.425751,""wT"":0.6,""wN"":0.4},""MDB"":{""TS"":0.619051,""NS"":0.334004,""CDS"":0.505032,""wT"":0.6,""wN"":0.4},""MSFT"":{""TS"":-0.474035,""NS"":0.21806,""CDS"":-0.197197,""wT"":0.6,""wN"":0.4},""MU"":{""TS"":0.546801,""NS"":0.252341,""CDS"":0.429017,""wT"":0.6,""wN"":0.4},""NVDA"":{""TS"":-0.370193,""NS"":0.115872,""CDS"":-0.175767,""wT"":0.6,""wN"":0.4},""PLTR"":{""TS"":-0.34427,""NS"":0.248145,""CDS"":-0.107304,""wT"":0.6,""wN"":0.4},""QBTS"":{""TS"":-0.506189,""NS"":0.317185,""CDS"":-0.176839,""wT"":0.6,""wN"":0.4},""RGTI"":{""TS"":-0.578127,""NS"":0.116332,""CDS"":-0.300343,""wT"":0.6,""wN"":0.4},""RKLB"":{""TS"":-0.572925,""NS"":0.221235,""CDS"":-0.255261,""wT"":0.6,""wN"":0.4},""SNOW"":{""TS"":-0.231333,""NS"":0.362342,""CDS"":0.006137,""wT"":0.6,""wN"":0.4},""TWLO"":{""TS"":0.582554,""NS"":0.271924,""CDS"":0.458302,""wT"":0.6,""wN"":0.4},""VOO"":{""TS"":-0.285193,""NS"":-0.150119,""CDS"":-0.231163,""wT"":0.6,""wN"":0.4},""VTI"":{""TS"":-0.289715,""NS"":-0.052764,""CDS"":-0.194935,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.628472,""NS"":0.456742,""CDS"":0.55978,""wT"":0.6,""wN"":0.4},""ZS"":{""TS"":-0.261853,""NS"":0.523487,""CDS"":0.052283,""wT"":0.6,""wN"":0.4}}",
