date,run_id,portfolio,cash,market_value,equity,daily_pnl,daily_return,cumulative_return,holdings_json,signals_json,notes
2025-11-03,19043506790,paper,0.0,0.0,0.0,0.0,0.0,0.0,{},{},
2025-11-04,19057296465,paper,10000.0,0.0,10000.0,0.0,0.0,0.0,{},{},


