symbol,qty,avg_cost
QBTS,230.08,0
VTI,9.48,0
VOO,1.24,0
QUBT,75.39,0
DOCN,9,0
AMZN,0.10134,0
CRWD,0.555751,00
JPM,1.50,0
TWLO,3,0
SNOW,1.50,0
CTM,33,0
FSLR,3,0
ZS,1.30,0
NVDA,3.50,0
ARCC,24.36,0
TTWO,1.80,0
HOOD,4,0
MSFT,1.50,0
AMD,3,0
RKLB,6.27,0
RGTI,10.17,0
ASTS,8.49,0

