date,run_id,portfolio,cash,market_value,equity,daily_pnl,daily_return,cumulative_return,holdings_json,signals_json,notes
2025-11-06,19152417586,portfolio_paper_aggressive_trades,7990.38,11997.62,19988.0,-4.0,-0.0002,-0.0002,"{""AAPL"":{""qty"":11.1151,""avg_cost"":270.11985,""mark"":269.85},""AMZN"":{""qty"":0.0003,""avg_cost"":243.20296,""mark"":242.96},""DE"":{""qty"":6.3135,""avg_cost"":475.53506,""mark"":475.06},""FSLR"":{""qty"":11.0228,""avg_cost"":272.38211,""mark"":272.11},""GOOGL"":{""qty"":10.5321,""avg_cost"":285.07479,""mark"":284.79}}","{""AAPL"":{""TS"":0.578813,""NS"":0.355607,""CDS"":0.48953,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.513501,""NS"":0.278764,""CDS"":0.419607,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.53571,""NS"":0.261663,""CDS"":0.426091,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.633719,""NS"":0.188207,""CDS"":0.455514,""wT"":0.6,""wN"":0.4}}",
2025-11-07,19183518898,portfolio_paper_aggressive_trades,12.95,19806.42,19819.37,114.46,0.005809,-0.008437,"{""AAPL"":{""qty"":14.8186,""avg_cost"":270.11985,""mark"":268.47},""AMZN"":{""qty"":4.1137,""avg_cost"":243.20296,""mark"":244.42},""DDOG"":{""qty"":5.2407,""avg_cost"":187.79761,""mark"":191.21},""DE"":{""qty"":6.3135,""avg_cost"":475.53506,""mark"":467.495},""DOCN"":{""qty"":20.3395,""avg_cost"":48.38834,""mark"":49.495},""FSLR"":{""qty"":14.6956,""avg_cost"":272.38211,""mark"":267.63},""GOOGL"":{""qty"":17.5831,""avg_cost"":283.627102,""mark"":278.865},""ICLN"":{""qty"":0.0004,""avg_cost"":17.49748,""mark"":17.66},""JPM"":{""qty"":3.264725,""avg_cost"":313.423735,""mark"":314.265}}","{""AAPL"":{""TS"":-0.284986,""NS"":0.29276,""CDS"":-0.053888,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.525823,""NS"":0.351533,""CDS"":0.456107,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.697703,""NS"":0.17107,""CDS"":0.48705,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.432771,""NS"":0.240366,""CDS"":0.355809,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.65177,""NS"":0.212549,""CDS"":0.476082,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.54728,""NS"":0.39543,""CDS"":0.48654,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.523509,""NS"":0.322462,""CDS"":0.443091,""wT"":0.6,""wN"":0.4},""ICLN"":{""TS"":0.52644,""NS"":0.34779,""CDS"":0.45498,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.605219,""NS"":0.335114,""CDS"":0.497177,""wT"":0.6,""wN"":0.4}}",
2025-11-10,19245507436,portfolio_paper_aggressive_trades,778.92,19491.03,20269.95,0.01,0.0,0.014106,"{""AAPL"":{""qty"":6.433437,""avg_cost"":270.11985,""mark"":268.83},""AMZN"":{""qty"":4.1137,""avg_cost"":243.20296,""mark"":248.78},""DDOG"":{""qty"":8.877675,""avg_cost"":193.296866,""mark"":200.07},""DE"":{""qty"":6.3135,""avg_cost"":475.53506,""mark"":475.96},""DOCN"":{""qty"":20.33965,""avg_cost"":48.388363,""mark"":51.89},""FSLR"":{""qty"":14.6956,""avg_cost"":272.38211,""mark"":272.22},""GOOGL"":{""qty"":17.5831,""avg_cost"":283.627102,""mark"":290.205},""ICLN"":{""qty"":0.000225,""avg_cost"":17.49748,""mark"":18.03},""JPM"":{""qty"":3.264725,""avg_cost"":313.423735,""mark"":317.32},""MDB"":{""qty"":2.021577,""avg_cost"":374.60423,""mark"":377.16}}","{""AAPL"":{""TS"":-0.274373,""NS"":0.293221,""CDS"":-0.047335,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.562021,""NS"":0.50259,""CDS"":0.538249,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.725991,""NS"":0.408072,""CDS"":0.598824,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.515858,""NS"":0.419507,""CDS"":0.477318,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.683127,""NS"":0.174899,""CDS"":0.479836,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.572253,""NS"":0.315899,""CDS"":0.469711,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.614844,""NS"":0.462459,""CDS"":0.55389,""wT"":0.6,""wN"":0.4},""ICLN"":{""TS"":0.57394,""NS"":-0.185766,""CDS"":0.270057,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.646745,""NS"":0.333221,""CDS"":0.521335,""wT"":0.6,""wN"":0.4},""MDB"":{""TS"":0.641818,""NS"":0.481067,""CDS"":0.577518,""wT"":0.6,""wN"":0.4}}",
2025-11-11,19277958554,portfolio_paper_aggressive_trades,967.47,19181.42,20148.89,0.01,0.0,0.008049,"{""AAPL"":{""qty"":3.815339,""avg_cost"":270.11985,""mark"":275.29},""AMZN"":{""qty"":4.1137,""avg_cost"":243.20296,""mark"":248.91},""DDOG"":{""qty"":8.877675,""avg_cost"":193.296866,""mark"":197.62},""DE"":{""qty"":6.3135,""avg_cost"":475.53506,""mark"":477.755},""DOCN"":{""qty"":20.339725,""avg_cost"":48.388371,""mark"":50.02},""FSLR"":{""qty"":13.954495,""avg_cost"":272.38211,""mark"":264.72},""GOOGL"":{""qty"":17.5831,""avg_cost"":283.627102,""mark"":290.795},""ICLN"":{""qty"":0.000169,""avg_cost"":17.49748,""mark"":17.775},""JPM"":{""qty"":3.264725,""avg_cost"":313.423735,""mark"":316.05},""MDB"":{""qty"":2.021577,""avg_cost"":374.60423,""mark"":374.66},""XOP"":{""qty"":5.38411,""avg_cost"":134.7346,""mark"":134.23}}","{""AAPL"":{""TS"":-0.147755,""NS"":0.302273,""CDS"":0.032256,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.563691,""NS"":0.403296,""CDS"":0.499533,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.693494,""NS"":0.295882,""CDS"":0.534449,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.532974,""NS"":0.241924,""CDS"":0.416554,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.611137,""NS"":0.266531,""CDS"":0.473295,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.498156,""NS"":0.035672,""CDS"":0.313162,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.618905,""NS"":0.429826,""CDS"":0.543273,""wT"":0.6,""wN"":0.4},""ICLN"":{""TS"":0.517346,""NS"":0.44135,""CDS"":0.486947,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.607119,""NS"":0.104652,""CDS"":0.406133,""wT"":0.6,""wN"":0.4},""MDB"":{""TS"":0.633849,""NS"":0.327019,""CDS"":0.511117,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.625016,""NS"":0.362253,""CDS"":0.519911,""wT"":0.6,""wN"":0.4}}",
2025-11-12,19311238687,portfolio_paper_aggressive_trades,200.51,19790.79,19991.3,0.01,0.0,0.000165,"{""AAPL"":{""qty"":2.146128,""avg_cost"":270.11985,""mark"":273.965},""AMZN"":{""qty"":4.1137,""avg_cost"":243.20296,""mark"":244.96},""DDOG"":{""qty"":8.877675,""avg_cost"":193.296866,""mark"":189.49},""DE"":{""qty"":6.3135,""avg_cost"":475.53506,""mark"":479.475},""DOCN"":{""qty"":11.441095,""avg_cost"":48.388371,""mark"":48.265},""EFA"":{""qty"":15.71025,""avg_cost"":96.711165,""mark"":96.595},""FSLR"":{""qty"":13.954495,""avg_cost"":272.38211,""mark"":267.77},""GOOGL"":{""qty"":17.5831,""avg_cost"":283.627102,""mark"":286.895},""ICLN"":{""qty"":3.699526,""avg_cost"":17.677652,""mark"":17.66},""JPM"":{""qty"":3.264725,""avg_cost"":313.423735,""mark"":320.55},""MDB"":{""qty"":2.021577,""avg_cost"":374.60423,""mark"":369.02},""SNAP"":{""qty"":7.242794,""avg_cost"":9.02902,""mark"":9.02},""XOP"":{""qty"":5.38411,""avg_cost"":134.7346,""mark"":132.19}}","{""AAPL"":{""TS"":-0.205733,""NS"":0.459305,""CDS"":0.060282,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.498313,""NS"":0.411788,""CDS"":0.463703,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.578495,""NS"":0.191496,""CDS"":0.423696,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.548235,""NS"":0.17489,""CDS"":0.398897,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.544055,""NS"":0.053215,""CDS"":0.347719,""wT"":0.6,""wN"":0.4},""EFA"":{""TS"":0.616572,""NS"":0.554046,""CDS"":0.591562,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.517274,""NS"":0.269812,""CDS"":0.418289,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.547721,""NS"":0.31,""CDS"":0.452633,""wT"":0.6,""wN"":0.4},""ICLN"":{""TS"":0.491395,""NS"":0.685936,""CDS"":0.569212,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.654659,""NS"":0.244912,""CDS"":0.49076,""wT"":0.6,""wN"":0.4},""MDB"":{""TS"":0.572371,""NS"":0.157299,""CDS"":0.406342,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.656662,""NS"":0.414154,""CDS"":0.559659,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.538731,""NS"":0.545779,""CDS"":0.54155,""wT"":0.6,""wN"":0.4}}",
2025-11-13,19345236431,portfolio_paper_aggressive_trades,21639.93,3356.71,24996.64,0.0,0.0,0.250583,"{""LLY"":{""qty"":0.857127,""avg_cost"":1021.775755,""mark"":1020.755},""MMM"":{""qty"":5.032211,""avg_cost"":170.195025,""mark"":170.025},""PFE"":{""qty"":31.45163,""avg_cost"":25.80578,""mark"":25.78},""SNAP"":{""qty"":3.7e-05,""avg_cost"":8.663655,""mark"":8.655},""XLV"":{""qty"":5.331144,""avg_cost"":153.097945,""mark"":152.945}}","{""LLY"":{""TS"":0.755962,""NS"":0.189698,""CDS"":0.529456,""wT"":0.6,""wN"":0.4},""MMM"":{""TS"":0.562781,""NS"":0.463628,""CDS"":0.523119,""wT"":0.6,""wN"":0.4},""PFE"":{""TS"":0.585581,""NS"":0.392704,""CDS"":0.50843,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.529034,""NS"":0.192737,""CDS"":0.394516,""wT"":0.6,""wN"":0.4},""XLV"":{""TS"":0.764739,""NS"":0.127682,""CDS"":0.509916,""wT"":0.6,""wN"":0.4}}",
2025-11-14,19377030738,portfolio_paper_aggressive_trades,20093.73,4875.45,24969.18,0.0,0.0,0.249209,"{""ABBV"":{""qty"":2.802817,""avg_cost"":234.098865,""mark"":233.865},""ILMN"":{""qty"":0.637974,""avg_cost"":121.46134,""mark"":121.34},""LLY"":{""qty"":0.857127,""avg_cost"":1021.775755,""mark"":1029.73},""LYFT"":{""qty"":9.640638,""avg_cost"":23.29327,""mark"":23.27},""MMM"":{""qty"":5.032211,""avg_cost"":170.195025,""mark"":167.605},""PFE"":{""qty"":31.45163,""avg_cost"":25.80578,""mark"":25.19},""SNAP"":{""qty"":5.9e-05,""avg_cost"":8.618864,""mark"":8.535},""XLE"":{""qty"":6.381284,""avg_cost"":92.147055,""mark"":92.055},""XLV"":{""qty"":5.331144,""avg_cost"":153.097945,""mark"":152.405}}","{""ABBV"":{""TS"":0.675874,""NS"":0.403774,""CDS"":0.567034,""wT"":0.6,""wN"":0.4},""ILMN"":{""TS"":0.643475,""NS"":0.321895,""CDS"":0.514843,""wT"":0.6,""wN"":0.4},""LLY"":{""TS"":0.70258,""NS"":0.171047,""CDS"":0.489967,""wT"":0.6,""wN"":0.4},""LYFT"":{""TS"":0.60837,""NS"":0.351386,""CDS"":0.505576,""wT"":0.6,""wN"":0.4},""MMM"":{""TS"":0.553375,""NS"":0.169747,""CDS"":0.399924,""wT"":0.6,""wN"":0.4},""PFE"":{""TS"":0.540528,""NS"":0.150418,""CDS"":0.384484,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.499173,""NS"":0.180123,""CDS"":0.371553,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":0.687091,""NS"":0.264503,""CDS"":0.518056,""wT"":0.6,""wN"":0.4},""XLV"":{""TS"":0.800385,""NS"":-0.087636,""CDS"":0.445177,""wT"":0.6,""wN"":0.4}}",
