datetime_utc,portfolio_id,symbol,action,qty,price_exec,slippage_bps,liquidity_impact_bps,fees,gross_amount,post_trade_cash,post_trade_position,signal_snapshot,rationale,run_id
2025-11-07T01:05:12.853805+00:00,portfolio_paper_reasonable,FSLR,BUY,2.204,272.38211,10.0,0.0,0.0,-600.33,10392.02,8.818,"{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.853956+00:00,portfolio_paper_reasonable,AAPL,BUY,2.2225,270.11985,10.0,0.0,0.0,-600.34,9791.68,8.8919,"{""TS"":0.578813,""NS"":0.306517,""CDS"":0.469894,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.854085+00:00,portfolio_paper_reasonable,GOOGL,BUY,2.1059,285.07479,10.0,0.0,0.0,-600.34,9191.34,8.4254,"{""TS"":0.633719,""NS"":0.204776,""CDS"":0.462142,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.854212+00:00,portfolio_paper_reasonable,AMZN,BUY,2.4684,243.20296,10.0,0.0,0.0,-600.32,8591.02,9.8759,"{""TS"":0.513501,""NS"":0.259286,""CDS"":0.411815,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T01:05:12.854375+00:00,portfolio_paper_reasonable,DE,BUY,1.2624,475.53506,10.0,0.0,0.0,-600.32,7990.7,5.0508,"{""TS"":0.53571,""NS"":0.216831,""CDS"":0.408159,""wT"":0.6,""wN"":0.4}",score>buy,19154823423
2025-11-07T19:37:10.312256+00:00,portfolio_paper_reasonable,JPM,BUY,1.895,313.378065,10.0,0.0,0.0,-593.85,7396.85,1.895,"{""TS"":0.577324,""NS"":0.368065,""CDS"":0.49362,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.312474+00:00,portfolio_paper_reasonable,DOCN,BUY,12.2725,48.38834,10.0,0.0,0.0,-593.85,6803.0,12.2725,"{""TS"":0.635934,""NS"":0.206328,""CDS"":0.464091,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.312616+00:00,portfolio_paper_reasonable,GOOGL,BUY,2.137,277.88761,10.0,0.0,0.0,-593.85,6209.16,10.5624,"{""TS"":0.505175,""NS"":0.373804,""CDS"":0.452626,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.312748+00:00,portfolio_paper_reasonable,DDOG,BUY,3.1622,187.79761,10.0,0.0,0.0,-593.85,5615.3,3.1622,"{""TS"":0.651812,""NS"":0.138089,""CDS"":0.446323,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
2025-11-07T19:37:10.312875+00:00,portfolio_paper_reasonable,CMI,BUY,1.2426,477.922445,10.0,0.0,0.0,-593.87,5021.44,1.2426,"{""TS"":0.672457,""NS"":0.103112,""CDS"":0.444719,""wT"":0.6,""wN"":0.4}",score>buy,19179221793
