date,run_id,portfolio,cash,market_value,equity,daily_pnl,daily_return,cumulative_return,holdings_json,signals_json,notes
2025-11-06,19152417586,portfolio_paper_reasonable,10992.35,8998.65,19991.0,-3.0,-0.00015,-0.00015,"{""AAPL"":{""qty"":6.6694,""avg_cost"":270.11985,""mark"":269.85},""AMZN"":{""qty"":7.4075,""avg_cost"":243.20296,""mark"":242.96},""DE"":{""qty"":3.7884,""avg_cost"":475.53506,""mark"":475.06},""FSLR"":{""qty"":6.614,""avg_cost"":272.38211,""mark"":272.11},""GOOGL"":{""qty"":6.3195,""avg_cost"":285.07479,""mark"":284.79}}","{""AAPL"":{""TS"":0.578813,""NS"":0.355607,""CDS"":0.48953,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.513501,""NS"":0.278764,""CDS"":0.419607,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.53571,""NS"":0.261663,""CDS"":0.426091,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.590301,""NS"":0.29577,""CDS"":0.472489,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.633719,""NS"":0.188207,""CDS"":0.455514,""wT"":0.6,""wN"":0.4}}",
2025-11-07,19183518898,portfolio_paper_reasonable,67.7,19856.87,19924.57,96.58,0.004871,-0.003323,"{""AAPL"":{""qty"":8.8919,""avg_cost"":270.11985,""mark"":268.47},""AMZN"":{""qty"":9.8759,""avg_cost"":243.20296,""mark"":244.42},""CMI"":{""qty"":2.485,""avg_cost"":477.922445,""mark"":473.345},""DDOG"":{""qty"":6.3239,""avg_cost"":187.79761,""mark"":191.21},""DE"":{""qty"":5.0508,""avg_cost"":475.53506,""mark"":467.495},""DOCN"":{""qty"":36.8122,""avg_cost"":48.38834,""mark"":49.495},""FSLR"":{""qty"":8.818,""avg_cost"":272.38211,""mark"":267.63},""GOOGL"":{""qty"":14.8355,""avg_cost"":281.969364,""mark"":278.865},""JPM"":{""qty"":6.332325,""avg_cost"":313.501029,""mark"":314.265},""SNAP"":{""qty"":0.0001,""avg_cost"":8.213205,""mark"":8.205}}","{""AAPL"":{""TS"":-0.284986,""NS"":0.29276,""CDS"":-0.053888,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.525823,""NS"":0.351533,""CDS"":0.456107,""wT"":0.6,""wN"":0.4},""CMI"":{""TS"":0.662822,""NS"":0.064241,""CDS"":0.42339,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.697703,""NS"":0.17107,""CDS"":0.48705,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.432771,""NS"":0.240366,""CDS"":0.355809,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.65177,""NS"":0.212549,""CDS"":0.476082,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.54728,""NS"":0.39543,""CDS"":0.48654,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.523509,""NS"":0.322462,""CDS"":0.443091,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.605219,""NS"":0.335114,""CDS"":0.497177,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.538108,""NS"":0.213351,""CDS"":0.408205,""wT"":0.6,""wN"":0.4}}",
2025-11-10,19245507436,portfolio_paper_reasonable,685.26,19727.21,20412.47,-0.0,-0.0,0.021083,"{""AAPL"":{""qty"":2.81551,""avg_cost"":270.11985,""mark"":268.83},""AMZN"":{""qty"":9.8759,""avg_cost"":243.20296,""mark"":248.78},""BE"":{""qty"":1.792778,""avg_cost"":139.424285,""mark"":140.92},""CMI"":{""qty"":2.485,""avg_cost"":477.922445,""mark"":483.83},""DDOG"":{""qty"":9.511498,""avg_cost"":192.406915,""mark"":200.07},""DE"":{""qty"":5.0508,""avg_cost"":475.53506,""mark"":475.96},""DOCN"":{""qty"":36.8122,""avg_cost"":48.38834,""mark"":51.89},""FSLR"":{""qty"":8.818,""avg_cost"":272.38211,""mark"":272.22},""GOOGL"":{""qty"":14.8355,""avg_cost"":281.969364,""mark"":290.205},""JPM"":{""qty"":6.332325,""avg_cost"":313.501029,""mark"":317.32},""SNAP"":{""qty"":5.6e-05,""avg_cost"":8.213205,""mark"":8.665},""XLE"":{""qty"":1.395993,""avg_cost"":90.46037,""mark"":90.37}}","{""AAPL"":{""TS"":-0.274373,""NS"":0.293221,""CDS"":-0.047335,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.562021,""NS"":0.50259,""CDS"":0.538249,""wT"":0.6,""wN"":0.4},""BE"":{""TS"":0.575029,""NS"":0.595923,""CDS"":0.583387,""wT"":0.6,""wN"":0.4},""CMI"":{""TS"":0.689296,""NS"":0.358221,""CDS"":0.556866,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.725991,""NS"":0.408072,""CDS"":0.598824,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.515858,""NS"":0.419507,""CDS"":0.477318,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.683127,""NS"":0.174899,""CDS"":0.479836,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.572253,""NS"":0.315899,""CDS"":0.469711,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.614844,""NS"":0.462459,""CDS"":0.55389,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.646745,""NS"":0.333221,""CDS"":0.521335,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.610858,""NS"":-0.004971,""CDS"":0.364527,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":0.602608,""NS"":0.401526,""CDS"":0.522175,""wT"":0.6,""wN"":0.4}}",
2025-11-11,19277958554,portfolio_paper_reasonable,128.29,20105.82,20234.11,0.0,0.0,0.012161,"{""AAPL"":{""qty"":1.550505,""avg_cost"":270.11985,""mark"":275.29},""AMZN"":{""qty"":9.8759,""avg_cost"":243.20296,""mark"":248.91},""BE"":{""qty"":0.756329,""avg_cost"":139.424285,""mark"":129.875},""CMI"":{""qty"":2.485,""avg_cost"":477.922445,""mark"":474.14},""DDOG"":{""qty"":9.511498,""avg_cost"":192.406915,""mark"":197.62},""DE"":{""qty"":5.0508,""avg_cost"":475.53506,""mark"":477.755},""DIS"":{""qty"":5.485231,""avg_cost"":114.60449,""mark"":114.49},""DOCN"":{""qty"":36.812275,""avg_cost"":48.388344,""mark"":50.02},""FSLR"":{""qty"":6.6135,""avg_cost"":272.38211,""mark"":264.72},""GOOGL"":{""qty"":16.242147,""avg_cost"":282.75889,""mark"":290.795},""JPM"":{""qty"":6.332325,""avg_cost"":313.501029,""mark"":316.05},""SNAP"":{""qty"":0.000131,""avg_cost"":8.531271,""mark"":8.85},""XLE"":{""qty"":1.395993,""avg_cost"":90.46037,""mark"":91.55},""XOP"":{""qty"":4.315346,""avg_cost"":134.7346,""mark"":134.23}}","{""AAPL"":{""TS"":-0.147755,""NS"":0.302273,""CDS"":0.032256,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.563691,""NS"":0.403296,""CDS"":0.499533,""wT"":0.6,""wN"":0.4},""BE"":{""TS"":-0.327786,""NS"":0.328718,""CDS"":-0.065185,""wT"":0.6,""wN"":0.4},""CMI"":{""TS"":0.599246,""NS"":0.170743,""CDS"":0.427845,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.693494,""NS"":0.295882,""CDS"":0.534449,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.532974,""NS"":0.241924,""CDS"":0.416554,""wT"":0.6,""wN"":0.4},""DIS"":{""TS"":0.574284,""NS"":0.497117,""CDS"":0.543417,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.611137,""NS"":0.266531,""CDS"":0.473295,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.498156,""NS"":0.035672,""CDS"":0.313162,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.618905,""NS"":0.429826,""CDS"":0.543273,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.607119,""NS"":0.104652,""CDS"":0.406133,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.634507,""NS"":0.307562,""CDS"":0.503729,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":0.647888,""NS"":0.157138,""CDS"":0.451588,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.625016,""NS"":0.362253,""CDS"":0.519911,""wT"":0.6,""wN"":0.4}}",
2025-11-12,19311238687,portfolio_paper_reasonable,189.31,19866.2,20055.51,-0.01,-0.0,0.003227,"{""AAPL"":{""qty"":1.162879,""avg_cost"":270.11985,""mark"":273.965},""AMZN"":{""qty"":9.8759,""avg_cost"":243.20296,""mark"":244.96},""BE"":{""qty"":0.425435,""avg_cost"":139.424285,""mark"":126.39},""CMI"":{""qty"":2.485,""avg_cost"":477.922445,""mark"":479.15},""DDOG"":{""qty"":9.511498,""avg_cost"":192.406915,""mark"":189.49},""DE"":{""qty"":5.0508,""avg_cost"":475.53506,""mark"":479.475},""DIS"":{""qty"":5.485231,""avg_cost"":114.60449,""mark"":116.97},""DOCN"":{""qty"":27.609206,""avg_cost"":48.388344,""mark"":48.265},""FSLR"":{""qty"":6.6135,""avg_cost"":272.38211,""mark"":267.77},""GOOGL"":{""qty"":16.242147,""avg_cost"":282.75889,""mark"":286.895},""ICLN"":{""qty"":27.593463,""avg_cost"":17.67308,""mark"":17.66},""JPM"":{""qty"":6.332325,""avg_cost"":313.501029,""mark"":320.55},""SNAP"":{""qty"":4.587034,""avg_cost"":9.029006,""mark"":9.02},""XLE"":{""qty"":1.395993,""avg_cost"":90.46037,""mark"":90.32},""XOP"":{""qty"":4.315346,""avg_cost"":134.7346,""mark"":132.19}}","{""AAPL"":{""TS"":-0.205733,""NS"":0.459305,""CDS"":0.060282,""wT"":0.6,""wN"":0.4},""AMZN"":{""TS"":0.498313,""NS"":0.411788,""CDS"":0.463703,""wT"":0.6,""wN"":0.4},""BE"":{""TS"":-0.357063,""NS"":0.376622,""CDS"":-0.063589,""wT"":0.6,""wN"":0.4},""CMI"":{""TS"":0.626397,""NS"":0.184715,""CDS"":0.449724,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.578495,""NS"":0.191496,""CDS"":0.423696,""wT"":0.6,""wN"":0.4},""DE"":{""TS"":0.548235,""NS"":0.17489,""CDS"":0.398897,""wT"":0.6,""wN"":0.4},""DIS"":{""TS"":0.641948,""NS"":0.332401,""CDS"":0.518129,""wT"":0.6,""wN"":0.4},""DOCN"":{""TS"":0.544055,""NS"":0.053215,""CDS"":0.347719,""wT"":0.6,""wN"":0.4},""FSLR"":{""TS"":0.517274,""NS"":0.269812,""CDS"":0.418289,""wT"":0.6,""wN"":0.4},""GOOGL"":{""TS"":0.547721,""NS"":0.31,""CDS"":0.452633,""wT"":0.6,""wN"":0.4},""ICLN"":{""TS"":0.491395,""NS"":0.685936,""CDS"":0.569212,""wT"":0.6,""wN"":0.4},""JPM"":{""TS"":0.654659,""NS"":0.244912,""CDS"":0.49076,""wT"":0.6,""wN"":0.4},""SNAP"":{""TS"":0.656662,""NS"":0.414154,""CDS"":0.559659,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":0.531111,""NS"":0.282134,""CDS"":0.43152,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.538731,""NS"":0.545779,""CDS"":0.54155,""wT"":0.6,""wN"":0.4}}",
2025-11-13,19345236431,portfolio_paper_reasonable,22507.57,2489.94,24997.51,-0.0,-0.0,0.250438,"{""ESTC"":{""qty"":5.212263,""avg_cost"":91.3913,""mark"":91.3},""LLY"":{""qty"":0.514304,""avg_cost"":1021.775755,""mark"":1020.755},""MMM"":{""qty"":3.019299,""avg_cost"":170.195025,""mark"":170.025},""PFE"":{""qty"":18.871393,""avg_cost"":25.80578,""mark"":25.78},""XLV"":{""qty"":3.19866,""avg_cost"":153.097945,""mark"":152.945}}","{""ESTC"":{""TS"":0.486918,""NS"":0.526205,""CDS"":0.502633,""wT"":0.6,""wN"":0.4},""LLY"":{""TS"":0.755962,""NS"":0.189698,""CDS"":0.529456,""wT"":0.6,""wN"":0.4},""MMM"":{""TS"":0.562781,""NS"":0.463628,""CDS"":0.523119,""wT"":0.6,""wN"":0.4},""PFE"":{""TS"":0.585581,""NS"":0.392704,""CDS"":0.50843,""wT"":0.6,""wN"":0.4},""XLV"":{""TS"":0.764739,""NS"":0.127682,""CDS"":0.509916,""wT"":0.6,""wN"":0.4}}",
2025-11-14,19377030738,portfolio_paper_reasonable,21449.79,3530.69,24980.48,0.0,0.0,0.249586,"{""ABBV"":{""qty"":1.682415,""avg_cost"":234.098865,""mark"":233.865},""DDOG"":{""qty"":0.69732,""avg_cost"":185.92574,""mark"":185.74},""ESTC"":{""qty"":5.212263,""avg_cost"":91.3913,""mark"":91.22},""ILMN"":{""qty"":0.382948,""avg_cost"":121.46134,""mark"":121.34},""LLY"":{""qty"":0.514304,""avg_cost"":1021.775755,""mark"":1029.73},""LYFT"":{""qty"":5.786884,""avg_cost"":23.29327,""mark"":23.27},""MMM"":{""qty"":3.019299,""avg_cost"":170.195025,""mark"":167.605},""PFE"":{""qty"":18.871393,""avg_cost"":25.80578,""mark"":25.19},""XLE"":{""qty"":3.830445,""avg_cost"":92.147055,""mark"":92.055},""XLV"":{""qty"":3.19866,""avg_cost"":153.097945,""mark"":152.405},""XOP"":{""qty"":3.5e-05,""avg_cost"":134.06393,""mark"":133.93}}","{""ABBV"":{""TS"":0.675874,""NS"":0.403774,""CDS"":0.567034,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":0.609562,""NS"":0.324475,""CDS"":0.495527,""wT"":0.6,""wN"":0.4},""ESTC"":{""TS"":0.483552,""NS"":0.331105,""CDS"":0.422573,""wT"":0.6,""wN"":0.4},""ILMN"":{""TS"":0.643475,""NS"":0.321895,""CDS"":0.514843,""wT"":0.6,""wN"":0.4},""LLY"":{""TS"":0.70258,""NS"":0.171047,""CDS"":0.489967,""wT"":0.6,""wN"":0.4},""LYFT"":{""TS"":0.60837,""NS"":0.351386,""CDS"":0.505576,""wT"":0.6,""wN"":0.4},""MMM"":{""TS"":0.553375,""NS"":0.169747,""CDS"":0.399924,""wT"":0.6,""wN"":0.4},""PFE"":{""TS"":0.540528,""NS"":0.150418,""CDS"":0.384484,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":0.687091,""NS"":0.264503,""CDS"":0.518056,""wT"":0.6,""wN"":0.4},""XLV"":{""TS"":0.800385,""NS"":-0.087636,""CDS"":0.445177,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.697827,""NS"":0.071192,""CDS"":0.447173,""wT"":0.6,""wN"":0.4}}",
2025-11-17,19439967971,portfolio_paper_reasonable,19694.84,5241.96,24936.8,0.0,0.0,0.247401,"{""ABBV"":{""qty"":1.682415,""avg_cost"":234.098865,""mark"":234.04},""AVGO"":{""qty"":1.001664,""avg_cost"":348.53819,""mark"":344.47},""CIBR"":{""qty"":4.939928,""avg_cost"":75.00493,""mark"":74.41},""DDOG"":{""qty"":0.69732,""avg_cost"":185.92574,""mark"":182.07},""ESTC"":{""qty"":5.212263,""avg_cost"":91.3913,""mark"":90.3},""ETSY"":{""qty"":5.961401,""avg_cost"":57.67762,""mark"":54.965},""ILMN"":{""qty"":0.382948,""avg_cost"":121.46134,""mark"":121.91},""LLY"":{""qty"":0.514304,""avg_cost"":1021.775755,""mark"":1026.785},""LYFT"":{""qty"":5.786884,""avg_cost"":23.29327,""mark"":21.97},""MMM"":{""qty"":3.019299,""avg_cost"":170.195025,""mark"":166.84},""MSFT"":{""qty"":0.664261,""avg_cost"":511.62111,""mark"":508.09},""PFE"":{""qty"":18.871393,""avg_cost"":25.80578,""mark"":25.415},""UBER"":{""qty"":3.81299,""avg_cost"":92.217125,""mark"":91.56},""XLE"":{""qty"":3.830445,""avg_cost"":92.147055,""mark"":91.315},""XLV"":{""qty"":3.19866,""avg_cost"":153.097945,""mark"":152.76},""XOP"":{""qty"":3.5e-05,""avg_cost"":134.06393,""mark"":133.45}}","{""ABBV"":{""TS"":-0.022013,""TS_daily"":0.680664,""TS_intraday"":-0.022013,""NS"":0.219405,""CDS"":0.074554,""wT"":0.6,""wN"":0.4},""AVGO"":{""TS"":0.032773,""TS_daily"":-0.458287,""TS_intraday"":0.032773,""NS"":0.254725,""CDS"":0.121554,""wT"":0.6,""wN"":0.4},""CIBR"":{""TS"":-0.046291,""TS_daily"":-0.550276,""TS_intraday"":-0.046291,""NS"":0.596507,""CDS"":0.210828,""wT"":0.6,""wN"":0.4},""DDOG"":{""TS"":-0.467905,""TS_daily"":0.561119,""TS_intraday"":-0.467905,""NS"":0.365093,""CDS"":-0.134706,""wT"":0.6,""wN"":0.4},""ESTC"":{""TS"":0.024323,""TS_daily"":0.446554,""TS_intraday"":0.024323,""NS"":0.240575,""CDS"":0.110824,""wT"":0.6,""wN"":0.4},""ETSY"":{""TS"":-0.301975,""TS_daily"":-0.603334,""TS_intraday"":-0.301975,""NS"":0.292918,""CDS"":-0.064017,""wT"":0.6,""wN"":0.4},""ILMN"":{""TS"":-0.022874,""TS_daily"":0.654113,""TS_intraday"":-0.022874,""NS"":-0.059285,""CDS"":-0.037438,""wT"":0.6,""wN"":0.4},""LLY"":{""TS"":0.027088,""TS_daily"":0.701023,""TS_intraday"":0.027088,""NS"":0.1874,""CDS"":0.091213,""wT"":0.6,""wN"":0.4},""LYFT"":{""TS"":-0.176365,""TS_daily"":0.498123,""TS_intraday"":-0.176365,""NS"":0.482874,""CDS"":0.087331,""wT"":0.6,""wN"":0.4},""MMM"":{""TS"":-0.017786,""TS_daily"":-0.271609,""TS_intraday"":-0.017786,""NS"":0.10564,""CDS"":0.031584,""wT"":0.6,""wN"":0.4},""MSFT"":{""TS"":-0.008736,""TS_daily"":-0.423603,""TS_intraday"":-0.008736,""NS"":0.271231,""CDS"":0.10325,""wT"":0.6,""wN"":0.4},""PFE"":{""TS"":-0.015375,""TS_daily"":0.571433,""TS_intraday"":-0.015375,""NS"":0.057493,""CDS"":0.013772,""wT"":0.6,""wN"":0.4},""UBER"":{""TS"":0.017045,""TS_daily"":-0.541311,""TS_intraday"":0.017045,""NS"":0.29684,""CDS"":0.128963,""wT"":0.6,""wN"":0.4},""XLE"":{""TS"":-0.049327,""TS_daily"":0.623756,""TS_intraday"":-0.049327,""NS"":0.148218,""CDS"":0.029691,""wT"":0.6,""wN"":0.4},""XLV"":{""TS"":0.003233,""TS_daily"":0.704664,""TS_intraday"":0.003233,""NS"":-0.090951,""CDS"":-0.03444,""wT"":0.6,""wN"":0.4},""XOP"":{""TS"":0.04004,""TS_daily"":0.632889,""TS_intraday"":0.04004,""NS"":0.432418,""CDS"":0.196991,""wT"":0.6,""wN"":0.4}}",
