symbol,qty,avg_cost
__CASH__,1000,0
QBTS,229.08,0
VTI,11.48,0
QUBT,75.39,0
TTWO,1.80,0
ASTS,10.49,0
VOO,1.24,0
AMD,3,0
ARCC,24.36,0
RKLB,7.27,0
RGTI,12.17,0
NVDA,3.5,0
SNOW,1.5,0
AMZN,0.1013,0
CRWD,0.5558,0
CCCX,28,0
FSLR,3,0
